;open_time;Open;High;Low;Close;Volume;close_time
2021-09-18 23:59:59.999;1632016800000.0;47872.86;48015.25;47763.86;48007.06;723;1632020399999.0
2021-09-19 00:59:59.999;1632020400000.0;48007.06;48040.0;47780.81;47844.88;461;1632023999999.0
2021-09-19 01:59:59.999;1632024000000.0;47844.88;48035.99;47763.85;47846.11;704;1632027599999.0
2021-09-19 02:59:59.999;1632027600000.0;47846.12;48024.64;47763.87;48003.63;618;1632031199999.0
2021-09-19 03:59:59.999;1632031200000.0;48003.63;48140.02;47880.72;48129.12;937;1632034799999.0
2021-09-19 04:59:59.999;1632034800000.0;48129.12;48218.97;47924.97;48157.7;857;1632038399999.0
2021-09-19 05:59:59.999;1632038400000.0;48157.7;48315.78;48131.46;48259.7;1067;1632041999999.0
2021-09-19 06:59:59.999;1632042000000.0;48259.71;48333.0;48070.0;48117.19;913;1632045599999.0
2021-09-19 07:59:59.999;1632045600000.0;48117.19;48175.77;48050.0;48061.89;860;1632049199999.0
2021-09-19 08:59:59.999;1632049200000.0;48061.89;48076.57;47180.32;47327.73;3154;1632052799999.0
2021-09-19 09:59:59.999;1632052800000.0;47327.73;47442.5;47069.01;47274.52;2390;1632056399999.0
2021-09-19 10:59:59.999;1632056400000.0;47274.53;47392.72;47200.76;47325.46;1001;1632059999999.0
2021-09-19 11:59:59.999;1632060000000.0;47322.11;47710.0;47258.88;47580.0;1938;1632063599999.0
2021-09-19 12:59:59.999;1632063600000.0;47580.0;47770.0;47525.0;47646.72;1015;1632067199999.0
2021-09-19 13:59:59.999;1632067200000.0;47646.71;47726.27;47487.74;47544.91;1432;1632070799999.0
2021-09-19 14:59:59.999;1632070800000.0;47544.91;47655.0;47287.91;47359.99;1412;1632074399999.0
2021-09-19 15:59:59.999;1632074400000.0;47359.99;47785.0;47291.66;47659.39;1325;1632077999999.0
2021-09-19 16:59:59.999;1632078000000.0;47659.4;47749.99;47339.27;47376.72;1208;1632081599999.0
2021-09-19 17:59:59.999;1632081600000.0;47376.72;47607.79;47260.0;47594.67;889;1632085199999.0
2021-09-19 18:59:59.999;1632085200000.0;47594.66;47666.01;47354.39;47457.0;636;1632088799999.0
2021-09-19 19:59:59.999;1632088800000.0;47457.0;47607.8;46829.18;47042.94;2371;1632092399999.0
2021-09-19 20:59:59.999;1632092400000.0;47042.93;47369.59;46973.18;47241.75;940;1632095999999.0
2021-09-19 21:59:59.999;1632096000000.0;47241.75;47347.25;46750.43;46977.98;2097;1632099599999.0
2021-09-19 22:59:59.999;1632099600000.0;46978.86;47312.93;46909.01;47220.79;926;1632103199999.0
2021-09-19 23:59:59.999;1632103200000.0;47220.79;47261.51;45811.0;45938.37;4464;1632106799999.0
2021-09-20 00:59:59.999;1632106800000.0;45946.06;46076.72;45100.0;45542.76;4195;1632110399999.0
2021-09-20 01:59:59.999;1632110400000.0;45542.75;45776.14;45338.36;45650.45;2093;1632113999999.0
2021-09-20 02:59:59.999;1632114000000.0;45650.44;45836.85;45606.77;45724.73;1236;1632117599999.0
2021-09-20 03:59:59.999;1632117600000.0;45724.73;45796.97;45444.44;45638.93;1410;1632121199999.0
2021-09-20 04:59:59.999;1632121200000.0;45638.93;45799.78;44444.0;44824.89;4838;1632124799999.0
2021-09-20 05:59:59.999;1632124800000.0;44830.01;45156.33;44662.14;45046.55;2150;1632128399999.0
2021-09-20 06:59:59.999;1632128400000.0;45049.85;45189.82;44753.18;44844.02;1448;1632131999999.0
2021-09-20 07:59:59.999;1632132000000.0;44844.01;45295.0;44265.9;44585.33;4593;1632135599999.0
2021-09-20 08:59:59.999;1632135600000.0;44585.32;44625.78;43240.33;43739.75;7054;1632139199999.0
2021-09-20 09:59:59.999;1632139200000.0;43734.0;44050.0;42500.0;43532.0;10019;1632142799999.0
2021-09-20 10:59:59.999;1632142800000.0;43532.0;44135.0;43135.68;44054.65;5676;1632146399999.0
2021-09-20 11:59:59.999;1632146400000.0;44054.64;44134.47;43693.97;43807.99;3381;1632149999999.0
2021-09-20 12:59:59.999;1632150000000.0;43807.99;44013.15;43435.0;43844.88;2996;1632153599999.0
2021-09-20 13:59:59.999;1632153600000.0;43844.88;44100.0;43557.87;43850.46;2392;1632157199999.0
2021-09-20 14:59:59.999;1632157200000.0;43850.45;44250.0;43726.83;44044.12;1405;1632160799999.0
2021-09-20 15:59:59.999;1632160800000.0;44044.11;44120.91;43224.0;43406.62;2697;1632164399999.0
2021-09-20 16:59:59.999;1632164400000.0;43406.61;43951.82;42888.0;43850.25;4181;1632167999999.0
2021-09-20 17:59:59.999;1632168000000.0;43850.26;43968.67;43215.0;43540.38;1786;1632171599999.0
2021-09-20 18:59:59.999;1632171600000.0;43545.85;43913.83;43426.62;43516.86;1184;1632175199999.0
2021-09-20 19:59:59.999;1632175200000.0;43516.87;43940.0;43043.16;43343.03;2070;1632178799999.0
2021-09-20 20:59:59.999;1632178800000.0;43343.02;43640.0;42551.11;43015.62;3700;1632182399999.0
2021-09-20 21:59:59.999;1632182400000.0;43016.64;43038.18;40200.0;41666.69;12146;1632185999999.0
2021-09-20 22:59:59.999;1632186000000.0;41666.68;42824.0;41554.09;42762.58;3673;1632189599999.0
2021-09-20 23:59:59.999;1632189600000.0;42762.57;43111.0;42516.06;42900.0;2838;1632193199999.0
2021-09-21 00:59:59.999;1632193200000.0;42900.01;42971.14;42574.53;42683.01;1706;1632196799999.0
2021-09-21 01:59:59.999;1632196800000.0;42683.02;42890.76;42306.9;42433.08;2188;1632200399999.0
2021-09-21 02:59:59.999;1632200400000.0;42433.09;42750.28;42172.24;42564.99;1894;1632203999999.0
2021-09-21 03:59:59.999;1632204000000.0;42565.0;43076.99;42556.03;42894.7;2010;1632207599999.0
2021-09-21 04:59:59.999;1632207600000.0;42894.71;43340.0;42750.0;43301.07;2199;1632211199999.0
2021-09-21 05:59:59.999;1632211200000.0;43301.08;43477.99;43050.0;43266.17;2293;1632214799999.0
2021-09-21 06:59:59.999;1632214800000.0;43266.18;43425.92;43063.19;43149.96;1681;1632218399999.0
2021-09-21 07:59:59.999;1632218400000.0;43149.96;43639.0;43065.68;43446.17;1880;1632221999999.0
2021-09-21 08:59:59.999;1632222000000.0;43446.17;43562.95;43229.41;43288.97;1467;1632225599999.0
2021-09-21 09:59:59.999;1632225600000.0;43288.97;43550.0;43071.64;43116.0;2304;1632229199999.0
2021-09-21 10:59:59.999;1632229200000.0;43121.13;43331.23;42793.0;43131.0;2573;1632232799999.0
2021-09-21 11:59:59.999;1632232800000.0;43131.0;43169.51;42146.13;42429.75;3812;1632236399999.0
